Incident,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary,Disposition
UC Policy Violation,Mesa Nueva - Cresta,11/28/2021,2111280053,11/28/2021,8:55 PM,Two subjects not wearing mask,Referred To Student Conduct
UC Policy Violation,Mesa Nueva - Cresta,11/28/2021,2111280055,11/28/2021,9:06 PM,Subject not wearing mask,Referred To Student Conduct
Attempt To Contact,NTPLL - Catalyst,11/28/2021,2111280056,11/28/2021,9:25 PM,Parent unable to get ahold of daughter/student,Unable To Locate
UC Policy Violation,Seventh College West Building 1,11/28/2021,2111280058,11/28/2021,9:42 PM,Guest violation,Referred To Student Conduct
Petty Theft - Micro Mobility Device,Price Center - Triton Statue,11/28/2021,2021-1320,11/19/2021 - 11/28/2021,10:05 PM - 10:05 PM,"Electric scooter stolen, loss $550.00",Online Report
Suspicious Person,Seventh College West Building 3,11/28/2021,2111280063,11/28/2021,10:50 PM,"Transient lying on the street, yelling",Will Cooperate
Noise Disturbance,Warren Apartments - Brennan,11/28/2021,2111280064,11/28/2021,10:54 PM,"Loud yelling, possibly coming from outside",Referred To Student Conduct
Welfare Check,Veteran Affairs Medical Center,11/28/2021,2111280066,11/28/2021,11:26 PM,"Outside emergency department, male in vehicle has been contacting the VA Crisis Line, asking staff to meet him in parking lot",Gone On Arrival
Medical Aid,South Mesa Apartments,11/28/2021,2021-1317,11/28/2021,11:33 PM,Juvenile male having seizure,Transported To Hospital 
Suspicious Person,RIMAC,11/28/2021,2111280070,11/28/2021,11:48 PM,Subject smoking marijuana and harassing students,Field Interview
Suspicious Person,Tenaya Hall,11/29/2021,2111290001,11/29/2021,12:05 AM,"Complaint of male who continuously comes into reporting party's suite, un-invited",Referred To Student Conduct
Suspicious Vehicle,Muir College Dr / Scholars Dr North,11/29/2021,2111290004,11/29/2021,12:36 AM,,Checks OK
Bicyclist Stop,Gilman Dr / Gilman Bridge,11/29/2021,2111290006,11/29/2021,3:37 AM,,Field Interview
Security Alarm,Powell-Focht Bioengineering Bldg - EBU3A,11/29/2021,2111290008,11/29/2021,4:51 AM,,False Alarm
Security Alarm,Preuss School Bldg A,11/29/2021,2111290009,11/29/2021,5:29 AM,,False Alarm
Clery Incident Report - Dating Violence,Unknown ,11/29/2021,2021-1332,Unknown,Unknown,,Disposition Information Only
Fire Alarm,Visual Arts Facility Bldg 6,11/29/2021,2111290014,11/29/2021,8:55 AM,,Disposition False Alarm
Incomplete / Accidental Wireless 911 Call,Genesee Ave,11/29/2021,2111290015,11/29/2021,9:01 AM,,Logged Event
Suspicious Person,Biomedical Library,11/29/2021,2111290016,11/29/2021,9:10 AM,,Unable To Locate
Petty Theft - Bicycle,9735 Justice Ln - Bike Room,11/29/2021,2021-1318,11/25/2021 - 11/27/2021,9:00 am - 9:00 am,Loss $500.00,Online Report
Suspicious Circumstances,Blacks Beach,11/29/2021,2111290017,11/29/2021,9:11 AM,Animal bones found,Referred To Other Department - EH&S
Incomplete / Accidental Wireless 911 Call,University Center,11/29/2021,2111290018,11/29/2021,9:53 AM,,Logged Event
Suspicious Circumstances,La Jolla Shores Dr / North Torrey Pines Rd,11/29/2021,2111290019,11/29/2021,10:08 AM,Anonymous tip regarding suspicious looking bag,Checks OK
Suspicious Person,Canyon Vista Admin And Dining Facility,11/29/2021,2111290020,11/29/2021,10:08 AM,,Unable To Locate
Attempt To Contact,UCSD Police Department,11/29/2021,2111290021,11/29/2021,10:29 AM,Outside agency requesting assistance contacting student,Service Provided
Security Alarm,University Center,11/29/2021,2111290023,11/29/2021,10:51 AM,,False Alarm
Information Only,Skaggs Pharmaceutical Bldg,11/29/2021,2021-1323,11/29/2021,12:45 PM,"Reporting party states an unknown male she briefly had contact with off campus, later came to campus asking about her",Report Taken
Suspicious Circumstances,Lot 705,11/29/2021,2111290028,11/28/2021,5:00 PM,"Unknown male was walking toward reporting party from behind, but then walked away",Information Only
Non Injury Traffic Collision,Greenhouse Ln,11/29/2021,2021-1322,11/29/2021,1:55 PM,,Report Taken
Petty Theft,Robinson Bldg 1 / Administration,11/29/2021,2021-1326,11/24/2021 - 11/29/2021,2:00 pm - 9:15 am,Loss $50.00,Report Taken
Petty Theft - Bicycle,Blake / Argo Hall Bike Rack,11/29/2021,2021-1321,11/24/2021 - 11/29/2021,1:00 pm - 11:30 am,Loss $800.00,Report Taken
Suspicious Person,Osler Parking Structure,11/29/2021,2021-1324,11/29/2021,2:56 PM,Report of unknown male following reporting party asking for help finding his vehicle,Stay Away Notice Issued
Incomplete / Accidental Wireless 911 Call,University Center,11/29/2021,2111290033,11/29/2021,3:55 PM,,Logged Event
Petty Theft - Bicycle,Bike Rack Under Crouton's,11/29/2021,2021-1325,11/29/2021,10:30 am - 3:50 pm,Loss unknown at this time,Report Taken
Preserve The Peace,Tuolumne Apts - S House,11/29/2021,2111290036,11/29/2021,4:12 PM,"Upset parent refusing to follow directives, reporting party requesting officers to respond",Information Only
Traffic Collision With Injury,Medical Center Dr / Gilman Dr,11/29/2021,2021-1327,11/5/2021,7:55 AM,,Report Taken
Hazard Situation,La Jolla Village Dr / Villa La Jolla Dr,11/29/2021,2111290038,11/29/2021,4:24 PM,Homeless person in median possibly falling into traffic,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Wireless 911 Call,Nuevo East - Astilla,11/29/2021,2111290039,11/29/2021,4:48 PM,,Logged Event
Psych Subject,Geisel Library,11/29/2021,2021-1328,11/29/2021,5:21 PM,Female with suicidal ideations,Transported To Hospital
Incomplete / Accidental Wireless 911 Call,VA Medical Center,11/29/2021,2111290045,11/29/2021,6:04 PM,,Logged Event
Petty Theft,One Miramar Parking Garage,11/29/2021,2021-1330,11/28/2021 - 11/29/2021,11:30 pm - 8:30 am,"Unknown suspect(s) entered victim's vehicle stole property, no signs of forced entry, Loss ",Report Taken
Suspicious Circumstances,Osler Parking Structure,11/29/2021,2021-1331,11/29/2021,6:22 PM,Report of suspicious package seen inside parking structure ,Report Taken
Petty Theft - Bicycle,Nuevo East - Piedra,11/29/2021,2021-1329,11/28/2021 - 11/29/2021,11:30 pm - 6:30 pm,Loss $800.00,Report Taken
Security Alarm,Cognitive Sciences Bldg,11/29/2021,2111290050,11/29/2021,6:44 PM,,Cancelled
Suspicious Vehicle,Osler Parking Structure,11/29/2021,2111290051,11/29/2021,7:23 PM,,Checks OK
Security Alarm,Extended Studies - Unex K,11/29/2021,2111290054,11/29/2021,8:18 PM,,Checks OK
Grand Theft - Micro Mobility Device,Rita Atkinson Residences,11/29/2021,2021-1333,11/24/2021 - 11/29-2021,7:00 pm - 12:00 pm,Loss $1020.00,Report Taken
Incomplete / Accidental Landline 911 Call,Nuevo East - Astilla,11/29/2021,2111290057,11/29/2021,9:18 PM,,Logged Event
Drunk Driving,Interstate 5 SB / La Jolla Village Dr,11/29/2021,2111290058,11/29/2021,9:53 PM,Report of truck swerving ,Referred To Other Agency - California Highway Patrol
Suspicious Person,Geisel Library,11/29/2021,2111290060,11/29/2021,10:24 PM,Adult male approaching students asking for their bicycles,Field Interview
Citizen Contact,UCSD Police Department,11/29/2021,2111290061,11/29/2021,10:34 PM,Request to speak with officer regarding crimes that occurred off campus,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Landline 911 Call,NTPLL - Mosaic,11/29/2021,2111290062,11/29/2021,10:59 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,One Miramar St Bldg 4,11/29/2021,2111290063,11/29/2021,11:18 PM,,Logged Event
Noise Disturbance,Nuevo West - Viento,11/30/2021,2111300003,11/30/2021,1:50 AM,Someone playing drums,Quiet On Arrival
Incomplete / Accidental Wireless 911 Call,North Torrey Pines Rd,11/30/2021,2111300006,11/30/2021,3:40 AM,,Logged Event
Security Alarm,Preuss School Bldg F,11/30/2021,2111300009,11/30/2021,5:28 AM,,False Alarm
Security Alarm,SIO New Director's Office,11/30/2021,2111300017,11/30/2021,8:39 AM,,False Alarm
Clery Incident Report - Domestic Violence,"Unknown, La Jolla, CA",11/30/2021,2021-1340,11/23/2021,11:30 AM - 11:35 AM,,Information Only
Petty Theft,9264 Central Mesa Apts ,11/30/2021,2021-1334,11/29/2021 - 11/30/2021,3:00 pm - 10:41 am,"Unknown suspect(s) stole rear license plate from vehicle, Loss $20.00",Report Taken
Welfare Check,Matthews Apts E,11/30/2021,2111300029,11/30/2021,11:33 AM,"Reporting party concerned about text message received from  boyfriend, possible suicidal ideations",Disposition Cancelled
Petty Theft - Bicycle,3967 Miramar St,11/30/2021,2021-1341,11/29/2021 - 11/30/2021,9:00 PM - 10:40 AM,Loss $200.00,Online Report
Medical Aid,Athena Parking,11/30/2021,2111300030,11/30/2021,11:58 AM,Report of male having seizure,Transported To Hospital
Incomplete / Accidental Wireless 911 Call,Gilman Dr,11/30/2021,2111300031,11/30/2021,12:42 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Regents Park Row / Regents Rd,11/30/2021,2111300032,11/30/2021,1:12 PM,,Logged Event
Found Property,Gator Beach,11/30/2021,2021-1335,11/30/2021,1:23 PM,,Report Taken
Burglary,One Miramar St Bldg 3,11/30/2021,2021-1336,11/30/2021,10:30 AM - 12:10 PM,"Unknown suspect(s) entered victim's apartment through unlocked door and stole property, Loss $1,599.00",Report Taken
Incomplete / Accidental Wireless 911 Call,Phoenix ,11/30/2021,2111300037,11/30/2021,3:50 PM,,Referred To Other Agency - Phoenix Arizona Police Department
Incomplete / Accidental Landline 911 Call,UCSD Police Department,11/30/2021,2111300040,11/30/2021,4:36 PM,,Logged Event
Fire Alarm,Charles David Keeling Apts 1,11/30/2021,2111300041,11/30/2021,4:45 PM,,False Alarm
Petty Theft,Central Mesa Apts ,11/30/2021,2021-1337,11/28/2021 - 11/30/2021 ,4:00 PM - 4:30 PM,"Unknown suspect(s) stole rear license plate from vehicle, Loss $22.00",Report Taken
Incomplete / Accidental Landline 911 Call,UCSD Police Department,11/30/2021,2111300043,11/30/2021,4:54 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Pepper Canyon Hall,11/30/2021,2111300044,11/30/2021,4:55 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/30/2021,2111300045,11/30/2021,5:10 PM,,Logged Event
Petty Theft - Micro Mobility Device,Library Walk,11/30/2021,2021-1338,11/30/2021,4:10 pm - 4:50 pm,"Unknown suspect(s) stole electric scooter from bike rack, Loss $318.20",Report Taken
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,11/30/2021,2111300048,11/30/2021,6:11 PM,,Logged Event
Incomplete / Accidental Landline 911 Call,Nuevo West - Brisa,11/30/2021,2111300051,11/30/2021,6:17 PM,,Logged Event
Hazard Situation,Sch9olars Dr North / North Point Dr,11/30/2021,2111300054,11/30/2021,7:10 PM,Report of student in the median,Checks OK
Security Alarm,Leichtag Family Foundation Biomed Research,11/30/2021,2111300055,11/30/2021,7:32 PM,,False Alarm
Petty Theft - Micro Mobility Device,Library Walk ,11/30/2021,2021-1342,11/30/2021,3:40 pm - 7:30pm,"Unknown suspect(s) stole electric scooter from bike rack, Loss $800.00",Online Report
Incomplete / Accidental Wireless 911 Call,Nobel Dr / Danica Mae Dr,11/30/2021,2111300058,11/30/2021,7:49 PM,,Logged Event
Suspicious Person,Camp Snoopy Res  Hall,11/30/2021,2111300060,11/30/2021,8:01 PM,Residents reported to Resident Advisor that an unknown male had been following them,Unable To Locate
Illegal Camping,Marine Ecosystem Sensing Observation ,11/30/2021,2111300061,11/30/2021,8:21 PM,,Information only
Petty Theft - Bicycle,Seventh College East #3,11/30/2021,2021-1343,11/25/2021 - 11/29/2021,5:00 PM - 10:00 AM,Loss $500.00,Online Report
Illegal Parking,Marine Ecosystem Sensing Observation ,11/30/2021,2111300063,11/3/2021,9:13 PM,,Field Interview
Security Alarm,University Center,11/30/2021,2111300067,11/30/2021,10:59 PM,,False Alarm
Medical Aid,9435 Modular Offices,11/30/2021,2111300068,11/30/2021,11:24 PM,"Adult male dizzy, heart racing, conscious and breathing, requesting transport to other hospital",Referred To Other Agency - San Diego Fire Department
Noise Disturbance,Seventh College West #7,11/30/2021,2111300069,11/30/2021,11:48 PM,Loud impact and voices outside building,Quiet On Arrival
Non Injury Traffic Collision,Lot 504,12/1/2021,2021-1339,11/30/2021,11:30 PM - 11:35 PM,,Report Taken
Noise Disturbance,Marshall Upper Apts K,12/1/2021,2112010005,12/1/2021,12:44 AM,Loud group in apartment above,Quiet On Arrival
Medical Aid,Mobil Gas Station ,12/1/2021,2112010006,12/1/2021,1:06 AM,"Male in wheelchair fell down, lying on sidewalk",Referred To Other Agency - San Diego Fire Department
Incomplete / Accidental Wireless 911 Call,Nobel Dr,12/1/2021,2112010009,12/1/2021,3:57 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Regents Rd / La Jolla Village Dr,12/1/2021,2112010010,12/1/2021,4:05 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Miramar St,12/1/2021,2112010011,12/1/2021,5:39 AM,,Disposition Logged Event
Public Intoxication,Nuevo West - Astilla,12/1/2021,2021-1344,12/1/2021,6:45 AM - 7:30 AM,"Non-affiliate intoxicated male, contacted after report of transient going door to door on first floor of building",Transported to Detox
Citizen Contact,Triton Stadium,12/1/2021,2112010017,12/1/2021,7:13 AM,"Report of transient trashing field, no damage found",Service Provided
Incomplete / Accidental Wireless 911 Call,Atkinson Hall,12/1/2021,2112010019,12/1/2021,8:39 AM,,Logged Event
Illegal Camping,Mount Soledad Facility,12/1/2021,2112010022,12/1/2021,9:46 AM,,Gone On Arrival
Suspicious Circumstances,Pangea Parking Structure,12/1/2021,2112010023,11/30/2021,10:30 AM,Anonymous report of male who possibly attempted to follow reporting party to her vehicle ,Information Only
Illegal Camping,Lot 703,12/1/2021,2112010026,12/1/2021,10:52 AM,,Checks OK
Disturbance,Center Hall,12/1/2021,2112010029,012/1,11:52 AM,Male transient yelling,Will Cooperate
Voluntary Psych Referral,Student Health And Wellness Center,12/1/2021,2021-1345,12/1/2021,12:33 PM - 1:17 PM,,Transported To Hospital
Skateboard Stop,Scholars Dr North,12/1/2021,2112010033,12/1/2021,12:34 PM,,Citation Issued
Petty Theft,La Jolla Del Sol Apts,12/1/2021,2021-1346,11/14/2021 - 11/15/2021,7:00 PM - 6:00 PM,"Unknown suspect(s) entered victim's unlocked vehicle and stole property, Loss $100.00",Report Taken
Non Injury Traffic Collision,Lot 703,12/1/2021,2021-1349,12/1/2021,12:15 PM,,Report Taken
Incomplete / Accidental Wireless 911 Call,Regents Park Row / Regents Rd,12/1/2021,2112010037,12/1/2021,1:38 PM,,Logged Event
Voluntary Psych Referral,Galbraith Hall,12/1/2021,2021-1347,12/1/2021,2:11 PM - 2:33 PM,,Transported To Hospital
Non Injury Traffic Collision,Lot 782,12/1/2021,2021-1348,12/1/2021,2:26 PM,,Report Taken
Fraud,Non Campus Property,12/1/2021,2112010040,12/1/2021,2:38 PM,,Referred To Other Agency - San Diego Police Department
Suspicious Person,Price Center West,12/1/2021,2112010041,12/1/2021,2:41 PM,,Gone On Arrival
Incomplete / Accidental Wireless 911 Call,Russell Ln / Lyman Ln,12/1/2021,2112010042,12/1/2021,2:50 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,12/1/2021,2112010043,12/1/2021,3:08 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Genesee Ave,12/1/2021,2112010044,12/1/2021,3:57 PM,,Logged Event
Suspicious Person,Seventh College West #5,12/1/2021,2112010046,12/1/2021,4:17 PM,"Possible bike theft, adult male seen walking away from area with bike, cut lock seen on ground",Gone On Arrival
Grand Theft - Bicycle,3739 Miramar St,12/1/2021,T21000185,12/1/2021,4:01 PM - 4:10 PM,"Loss $1,000.00",Online Report
Injury Report,Galbraith Hall,12/1/2021,2021-1351,12/1/2021,4:37 PM - 4:39 PM,"Young female fell off scooter injuring leg, conscious and breathing",Transported To Hospital
Illegal Camping,Lot 703,12/1/2021,2021-1350,12/1/2021,4:48 PM - 5:10 PM,Non-Affiliate male found inside guard shack ,Stay Away Order Issued
Petty Theft - Bicycle,Stein / West VA Hospital Entrance,12/1/2021,2021-1354,11/1/2021 - 11/3/2021,7:30 PM - 3:53 PM,Loss $30.00,Online Report
Hit & Run Collision - No Injury,Gilman Parking Structure,12/1/2021,2021-1352,12/1/2021,5:30 AM - 5:00 PM,,Report Taken
Petty Theft,Coast Apts,12/1/2021,2021-1355,11/17/2021 - 12/1/2021,5:00 PM - 5:00 PM,"Unknown suspect(s) entered victim's unlocked vehicle stole property, Loss $20.00",Report Taken
Gas/Water/Sewer Leak,Eastgate Mall / Autoport Mall,12/1/2021,2112010052,12/1/2021,5:31 PM,Water main break,Referred To Other Agency - San Diego City Shops
Fire Alarm,Mesa Nueva - Cala,12/1/2021,2112010053,12/1/2021,5:35 PM,"Smell burnt food, no smoke seen",Referred To Other UCSD Department - Housing and Maintenance
Petty Theft - Bicycle,Geisel Library Bike Rack,12/1/2021,2021-1353,11/30/2021 - 12/1-2021,11:00 AM - 12:00 PM,Loss $800.00,Online Report
CRIME AND FIRE LOG/MEDIA BULLETIN ,"DECEMBER 1, 2021",12/1/2021,T21000188,12/1/2021,1:00 PM - 6:00 PM,Loss $100.00,Online Report
Incomplete / Accidental Wireless 911 Call,Cliffridge Ave,12/1/2021,2112010055,12/1/2021,7:12 PM,,Logged Event
Welfare Check,Nuevo East - Porton,12/1/2021,2112010056,12/1/2021,7:18 PM,"Male transient approaching students asking to borrow phone, appears confused",Written Warning Issued
Citizen Contact,Voigt Dr / Campus Point Dr,12/1/2021,2112010058,12/1/2021,7:55 PM,"Via 911, male called advising he is being harassed by security officers, hung up when asked for additional information",Gone On Arrival
Incomplete / Accidental Landline 911 Call,UCSD Police Department,12/1/2021,2112010060,12/1/2021,8:42 PM,,Logged Event
Threaten Crime With Intentions To Terrorize,64 Degrees,12/1/2021,2021-1356,12/1/2021,9:05 PM,Non-affiliate male threatened to assault custodian,Report Taken
Noise Disturbance,Pepper Canyon Apts 400,12/1/2021,2112010064,12/1/2021,9:57 PM,Group playing basketball,Gone On Arrival
Person Of Concern,Canyon Vista Admin And Dining,12/1/2021,2021-1357,12/1/2021,10:09 PM,Male student has been sleeping in lounge area for past few days,Report Taken
Medical Aid,Bike Path On Genesee Ave,12/1/2021,2112010068,12/1/2021,6:52 AM,"Adult male recently released from hospital, requesting paramedics",Field Interview
Found Property,Marshall College ,12/1/2021,2112010069,12/1/2021,11:14 PM,,Information Only
Quiet Hours Contact,Mesa Nueva - Cala,12/1/2021,2112010070,12/1/2021,11:15 PM,,Will Cooperate
Suspicious Person,Bistro / The Village East,12/1/2021,2112010071,12/1/2021,11:17 PM,,Gone On Arrival
Suspicious Person,Sixth College Ln / Lyman Ln,12/1/2021,2112010072,12/1/2021,11:26 PM,Male looking at bikes under trolley stop,Unable To Locate
Vandalism,UCSD Medical Facility - Hillcrest,12/1/2021,HC21-11-01-1009,11/30/2021,7:45 PM,"Unknown suspect(s) damaged vehicle, amount of damage unknown",Hospital Security Report
Medical Aid,Voigt Dr / Campus Point Dr,12/2/2021,2112020002,12/2/2021,12:08 AM,Reporting party possibly having heart attak,Referred To Other Agency - San Diego Fire Department
Noise Disturbance,Rita Atkinson Residences,12/2/2021,2112020004,12/2/2021,1:38 AM,Group skateboarding outside building,Referred To Student Conduct
Noise Disturbance,Argo Hall,12/2/2021,2112020005,12/2/2021,2:31 AM,Loud talking and jumping,Quiet On Arrival 
Noise Disturbance,Tamarack Apts East,12/2/2021,2112020006,12/2/2021,2:34 AM,Loud talking    ,Referred To Student Conduct
Quiet Hours Contact,Tamarack Apts East,12/2/2021,2112020007,12/2/2021,2:50 AM,,Will Cooperate
Petty Theft - Bicycle,EBU2,12/2/2021,T21000189,12/1/2021 - 12/2/2021,5:45pm - 2:45 am,Loss $500.00,Disposition Online Report 
CRIME AND FIRE LOG/MEDIA BULLETIN ,"DECEMBER 2, 2021",12/2/2021,2112020014,12/2/2021,7:06 AM,Report of ladder in roadway,Disposition Referred To Other Agency - California Highway Patrol
Illegal Camping,Robert Paine Scripps Forum,12/2/2021,2112020015,12/2/2021,7:42 AM,Transient sleeping under tarp,Gone On Arrival
Petty Theft - Bicycle,Center Hall,12/2/2021,2021-1367,12/1/2021,2:10 PM - 7:30 PM,Loss $399.00,Online Report 
Incomplete / Accidental Landline 911 Call,NTPLL - Scholars Parking ,12/2/2021,2112020019,12/2/2021,9:54 AM,,Logged Event
Hazard Situation,Interstate 5 / Genesee Ave,12/2/2021,2112020021,12/2/2021,10:14 AM,Large truck expelling smoke,Referred To Other Agency - California Highway Patrol
Petty Theft - Bicycle Theft,Brennan Hall Bike Cage,12/2/2021,2021-1358,12/1/2021 12/2/2021,11:30 PM - 7:30 AM,Loss $120.00,Report Taken
Petty Theft - Bicycle Theft,Rita Atkinson Hall,12/2/2021,2021-1359UCSD POLICE DEPARTMENT ,12/1/2021 12/2/2021,12:00 PM - 9:00 AM,Loss $800.00,Report Taken
Suspicious Person,Pepper Canyon Apts 600,12/2/2021,2112020026,12/2/2021,11:39 AM,Unknown male checking bikes to see if locked,Gone On Arrival
Medical Aid,Student Health And Wellness Center,12/2/2021,21120200219,12/2/2021,12:16 PM,"Male having reaction to medication, conscious and breathing",Transported To Hospital
Petty Theft - Bicycle Theft,Rita Atkinson Hall Bike Rack,12/2/2021,2021-1360,12/2/2021,8:00 AM - 12:00 PM,Loss $500.00,Report Taken
Grand Theft,RIMAC - WEST PATIO,12/2/2021,2021-1361,11/11/2021 - 12/2/2021,12:00 AM - 12:58 PM,"Unknown suspect(s) stole furniture from patio, Loss $1,678.00",Report Taken
Security Alarm,Bike Shop,12/2/2021,2112020032,12/2/2021,12:59 PM,"San Diego Police received possible portable GPS alarm, requesting officers check area",Unable To Locate
Security Alarm,Student Services Center,12/2/2021,2112020033,12/2/2021,1:01 PMUCSD POLICE DEPARTMENT ,,False Alarm
Medical Aid,Rebecca And John Moores Cancer Center,12/2/2021,2112020034,12/2/2021,1:08 PM,"Female patient having acute asthma attack, conscious and breathing",Referred To Other Agency - San Diego Fire Department
Security Alarm,Student Center Bldg A,12/2/2021,2112020035,12/2/2021,1:11 PM,,Checks OK
Grand Theft,Osler Parking Structure,12/2/2021,2021-1362,12/2/2021,2:00 PM,"Reporting party witnessed suspect cut catalytic converter from vehicle, Loss/damage unknown at this time",Report Taken
Petty Theft   ,NTPLL - Kaleidoscope,12/2/2021,2021-1363,12/1/2021,Unknown,"Unknown suspect(s) stole passport from desk in room, loss unknown at this time",Report Taken
Petty Theft - Bicycle Theft,Rita Atkinson,12/2/2021,2021-1365,12/1/2021 - 12/2/2021,8:00 PM - 1:00 PM,Loss $600.00,Online Report 
Suspicious Circumstances,Seventh College East #2,12/2/2021,21120200401,12/2/2021,3:12 PM,Reporting party heard unknown subject pulling on bedroom doors inside apartment,Service Provided
Illegal Camping,Mandeville Center,12/2/2021,2112020042,12/2/2021,4:06 PM,,Unfounded
Fire Alarm,Nuevo West - Brisa,12/2/2021,2112020045,12/2/2021,4:45 PM,,False Alarm
Psych Subject Detention,UCSD Residential Area,12/2/2021,2021-1364,12/2/2021,5:39 PM,Subject having suicidal ideations,Transported To Hospital
Lost Property,Central Plant / Catalyst Parking Lot,12/2/2021,2112020049,12/2/2021,5:55 PM,,Information Only
Incomplete / Accidental Wireless 911 Call,Rimac Field,12/2/2021,2112021153,12/2/2021,8:07 PM,,Logged Event
Petty Theft - Bicycle Theft,Warren Brennan Hall ,12/2/2021,2021-1366,11/25/2021 - 12/2/2021,8:15 PM - 8:15 PM,Loss $500.00,Online Report 
Suspicious Circumstances,Charles David Keeling Apts 3,12/2/2021,2112020057,12/2/2021,9:44 PM,,Service Provided
Incomplete / Accidental Wireless 911 Call,Mesa Nueva - Cala,12/2/2021,2112020058,12/2/2021,10:05 PM,,Logged Event
Nosie Disturbance,Marshall Upper Apts H,12/2/2021,2112020059,12/2/2021,10:13 PM,Resident Advisor received report of loud talking and possible guest violation,Quiet On Arrival 
Found Property,Charles David Keeling Apts 3,12/2/2021,2112020061,12/2/2021,10:23 PM,,Service Provided
Noise Disturbance,Tioga Hall,12/2/2021,2112020062,12/2/2021,10:45 PM,Loud stomping,Quiet On Arrival 
Fondling,UCSD Medical Facility - Hillcrest,12/2/2021,HC21-12-01-1082,11/30/2021,6:00 AM,Female patient alleging hospital staff member touched her inappropriately,Hospital Security Report - Unfounded
Citizen Flagdown,Central Campus Trolley Stop,12/3/2021,2112030001,12/3/2021,12:30 AM,,Field Interview 
Incomplete/ Accidental Wireless 911 Call,Tamarack Apartments East ,12/3/2021,2112030005,12/3/2021,5:11 AM,,Logged Event 
Obstruct Public Officer ,Geisel Library,12/3/2021,2021-1369,12/3/2021,5:20 AM,"Subject causing disturbance, ignored officers and failed to follow commands",Citation Issued 
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,12/3/2021,2112030008,12/3/2021,6:02 AM,,Logged Event 
Annoying/ Harassing Phone Call,Nuevo West,12/3/2021,2112030011,12/3/2021,6:48 AM,Reporting party received harassing and threatening text messages and phone calls,Service Provided
Suspicious Person,Foodworx,12/3/2021,2112030016,12/3/2021,8:07 AM,Unknown subject tried to get access to location before business hours,Disposition Gone On Arrival
Fire Alarm,Center For Molecular Genetics ,12/3/2021,2112030017,12/3/2021,8:13 AM,,False Alarm
Petty Theft - Bicycle,9450 Gilman Dr,12/3/2021,T21000193,12/3/2021,8:25 AM,Loss $200.00,Online Report 
Vandalism,Price Center Plaza Fountain,12/3/2021,2021-1383,12/2/2021,10:00 PM - 11:59 PM,"Subject tossed detergent or bubbling soap into fountain, damage $30,000.00",Online Report
Vandalism,Rita Atkinson Residences,12/3/2021,2021-1384,12/3/2021,1:00 AM - 7:25 AM,"Unknown suspect(s) destroyed victim's potted plants outside of residence door, damage $20.00",Online Report
Incomplete/ Accidental Wireless 911 Call ,UCSD Police Department,12/3/2021,2112030028,12/3/2021,10:52 AM,,Logged Event
Suspicious Person,Career Services Center,12/3/2021,2112030029,12/3/2021,11:25 AM,Possible transient seen only wearing underpants,Field Interview
Suspicious Person,Health Sciences Dr/ Regents Rd ,12/3/2021,2021-1370,12/3/2021,11:53 AM - 11:54 AM,Male subject trying door handles on several parked vehicles,Stay Away Order Issued
Found Property ,Gilman Bridge ,12/3/2021,2112030036,12/3/2021,1:01 PM,Found backpack,Unable to Locate
Tampering with a Vehicle,Athena Circle ,12/3/2021,2021-1371,11/30/2021 - 11/30/2021,7:50 AM - 6:00 PM,"Stolen catalytic converter, loss $3,000.00",Report Taken 
Petty Theft Of Micro Mobility Device,Douglas Hall,12/3/2021,2021-1372,12/3/2021,12:30 AM 0 11:45 AM,"Stolen electric scooter, loss $500.00",Online Report
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,12/3/2021,2112030039,12/3/2021,2:39 PM,,Logged Event
Medical Aid,North Torrey Pines Ct,12/3/2021,2112030040,12/3/2021,3:49 PM,Subject possibly breathed in radioactive material,Checks OK
Welfare Check,"Philadelphia, Pennsylvania",12/3/2021,2112030041,12/3/2021,4:00 PM,"Via 911 cellular call, reporting party concerned for boyfriend with history of depression",Referred to Other Agency - Philadelphia Police Department 
Found Property,Medical Center Dr North/ Medical Center Dr South,12/3/2021,2112030042,12/3/2021,4:03 PM,,Service Provided
Welfare Check,Carthage St ,12/3/2021,2112030045,12/3/2021,4:55 PM,Subject sent concerning message to provider,Referred to Other Agency - San Diego Police Department
Medical Aid,Regents Park Row,12/3/2021,2112030049,12/3/2021,5:28 PM,Transient male passed out in parking garage ,Referred to Other Agency - San Diego Fire Department 
Suspicious Person,Conrad Prebys Music Center,12/3/2021,2112030050,12/3/2021,5:34 PM,Subject seen casing bicycles,Gone On Arrival
